feature,name,contrib,rotation,above_mean
f_59_contractions,Contractions,5.090483622751369,0.2256210012997766,TRUE
f_42_adverbs,Adverbs,4.7959874067930155,0.21899742936374905,TRUE
f_19_be_main_verb,Be main verb,4.661012027642034,0.21589377081430683,TRUE
f_06_first_person_pronouns,First person pronouns,4.2672079130464775,0.20657221287110442,TRUE
f_67_neg_analytic,Neg analytic,3.5807711178485495,0.18922925560939455,TRUE
f_07_second_person_pronouns,Second person pronouns,3.44204213853337,0.18552741410727897,TRUE
f_65_clausal_coordination,Clausal coordination,3.290091793199983,0.1813861018159878,TRUE
f_10_demonstrative_pronoun,Demonstrative pronoun,3.2098940409869154,0.1791617716195875,TRUE
f_56_verb_private,Verb private,3.1370892957627596,0.17711830215318705,TRUE
f_03_present_tense,Present tense,3.0996845490336082,0.17605921018321125,TRUE
f_49_emphatics,Emphatics,2.9169495594855195,0.17079079481885215,TRUE
f_09_pronoun_it,Pronoun it,2.883331676672594,0.1698037595777137,TRUE
f_12_proverb_do,Proverb do,2.620593241402676,0.16188246481329227,TRUE
f_11_indefinite_pronouns,Indefinite pronouns,2.3800658439927536,0.15427462020671961,TRUE
f_23_wh_clause,Wh clause,1.5277335028417875,0.12360151709593983,TRUE
f_47_hedges,Hedges,1.47583095344892,0.1214837830102818,FALSE
f_35_because,Because,1.3606423396704144,0.11664657473198332,FALSE
f_37_if,If,1.32516494671234,0.11511580893658103,FALSE
f_54_modal_predictive,Modal predictive,1.1448961460969966,0.10699981991092317,FALSE
f_41_adj_pred,Adj pred,1.0815788671063085,0.10399898399053284,FALSE
f_60_that_deletion,That deletion,1.0513565623013028,0.10253567975594179,FALSE
f_50_discourse_particles,Discourse particles,1.0048849950987124,0.10024395219157685,FALSE
f_13_wh_question,Wh question,0.6349306357560608,0.07968253483393097,FALSE
f_30_that_obj,That obj,0.5975601387244152,0.07730201412152315,FALSE
f_24_infinitives,Infinitives,0.5192137384455981,0.07205648745571763,FALSE
f_05_time_adverbials,Time adverbials,0.4365392931715101,0.06607112025473089,FALSE
f_20_existential_there,Existential there,0.27610163975832375,0.05254537465451401,FALSE
f_48_amplifiers,Amplifiers,0.23804262254140754,0.048789611859637504,FALSE
f_52_modal_possibility,Modal possibility,0.230973412489287,0.048059693349967125,FALSE
f_61_stranded_preposition,Stranded preposition,0.1872072921283223,0.04326745799423889,FALSE
f_08_third_person_pronouns,Third person pronouns,0.17981680866518904,0.0424048120695269,FALSE
f_51_demonstratives,Demonstratives,0.1482300145386807,0.03850065123328189,FALSE
f_38_other_adv_sub,Other adv sub,0.11749942495391491,0.03427818912281032,FALSE
f_53_modal_necessity,Modal necessity,0.0933299756723646,0.03054995510182704,FALSE
f_66_neg_synthetic,Neg synthetic,0.08589292741707258,0.02930749518759199,FALSE
f_01_past_tense,Past tense,0.07722954262886339,0.02779020378278352,FALSE
f_32_wh_obj,Wh obj,0.06664292440470078,0.025815290896036968,FALSE
f_62_split_infinitive,Split infinitive,0.033966919272064654,0.018430116459768973,FALSE
f_22_that_adj_comp,That adj comp,0.03395078291539065,0.01842573822547979,FALSE
f_55_verb_public,Verb public,8.897859457910365e-4,0.002982928000792239,FALSE
f_04_place_adverbials,Place adverbials,-1.7999391430537233e-4,-0.0013416181062633759,FALSE
f_63_split_auxiliary,Split auxiliary,-0.005429002006360332,-0.007368176169419637,FALSE
f_46_downtoners,Downtoners,-0.007874360935535986,-0.00887375959531021,FALSE
f_58_verb_seem,Verb seem,-0.009238243002591962,-0.009611577915510013,FALSE
f_29_that_subj,That subj,-0.04918928492309395,-0.022178657516426472,FALSE
f_31_wh_subj,Wh subj,-0.05889609184037667,-0.02426851702110716,FALSE
f_02_perfect_aspect,Perfect aspect,-0.06937727147812664,-0.02633956557692757,FALSE
f_21_that_verb_comp,That verb comp,-0.07338404675450391,-0.027089489983110435,FALSE
f_36_though,Though,-0.1652468644843175,-0.040650567583284475,FALSE
f_26_past_participle,Past participle,-0.17609410985858623,-0.04196356870650858,FALSE
f_57_verb_suasive,Verb suasive,-0.177235641606562,-0.04209936360642075,FALSE
f_33_pied_piping,Pied piping,-0.3624490962137364,-0.06020374541618961,FALSE
f_25_present_participle,Present participle,-0.5128825565072089,-0.07161581923759652,FALSE
f_34_sentence_relatives,Sentence relatives,-0.565157335715512,-0.07517694697947723,FALSE
f_15_gerunds,Gerunds,-0.8806149266571209,-0.09384108517366595,FALSE
f_28_present_participle_whiz,Present participle whiz,-0.8971675875490971,-0.09471893092455694,FALSE
f_18_by_passives,By passives,-1.1680933224791097,-0.10807836612750547,FALSE
f_64_phrasal_coordination,Phrasal coordination,-1.6918674410109151,-0.13007180482375566,TRUE
f_17_agentless_passives,Agentless passives,-1.9938752446037706,-0.14120464739532387,TRUE
f_27_past_participle_whiz,Past participle whiz,-2.114202843494061,-0.14540298633432758,TRUE
f_45_conjuncts,Conjuncts,-2.414357965974739,-0.155382044199925,TRUE
f_14_nominalizations,Nominalizations,-3.5888534667949434,-0.18944269494480254,TRUE
f_40_adj_attr,Adj attr,-4.2504753781832,-0.2061668105729729,TRUE
f_39_prepositions,Prepositions,-4.679650519336038,-0.21632499900233557,TRUE
f_16_other_nouns,Other nouns,-4.890991906731158,-0.22115587052418864,TRUE
f_44_mean_word_length,Mean word length,-5.891905078087661,-0.2427324675046104,TRUE
